sentence,classification
"There were a few close calls.",False
"PART",False
"Thanks, Chris.",False
"If there's any family with politics in their DNA, I think the Clintons fit the bill.",False
"Not so for these hardwood heroes.",False
"piff so",False
"Los Angeles, she won.",False
"That's going to be the really interesting political story out of this.",False
"Yes, and that's an interesting point.",False
"These raise red flags.",False
"Tell me what it is.",True
"But this is more than enough protection from any of the infectious diseases that we see.",False
"what 10-19-30sUser11",True
"Well it seems that's like the new killer option.",False
"n e latins n here.",True
"You're retarded ",False
"Anytime of the year, there's going to be a lot of people, a lot of tourists and, again, lots of people coming in, a lot of commuters that are coming into Central London to work.",False
"Good evening.",False
"Stay with CNN.",False
"nothing only cheking",False
"any single white females.",True
"It's about an hour's drive without traffic from downtown, the city of L.A. You have to go to an assembly area at a local college, as I mentioned area, about three or four miles from our location, where we're situated here just outside the library.",False
"Government scientists in Hong Kong have found that the virus can stay alive for at least four days in human waste.",False
"The chaplains were by.",False
"That`s got to feel pretty good.",False
"maybe we're too old",False
"lol 10-19-20sUser6",False
"The day the market crashed, 508 points.",False
"bbbbbyyyyyyyeeeeeeeee...........",False
"so 11-06-adultsUser88 - why no pic",True
"PART",False
"He is of course looking forward to a long series of celebrations.",False
"Major sports events shelved because of coronavirus.",False
"Earlier this week, the justices said companies like Hobby Lobby could be exempted if their owners rejected on religious grounds.",False
"The continuing cloud of suspicion over the White House is not something I can remove because I know only one part of the story.",False
"I've had this hat 50 years.",False
"There is no cookie cutter though that you can apply it to say this is something you have to be worried about.",False
"night 11-06-adultsUser53",False
"yes",False
"Good morning to you.",False
"Goldenrod eggs.",False
"Is there surveillance video of a potential suspect going through the security gate.",True
"Here there are people to defend this land.",False
"That was the president brokering a call this morning between the Israeli prime minister and the Turkish prime minister, two traditional allies who have not had normal relations for about three years now.",False
"Giving time to the causes that are dear to our hearts.",False
"So whose responsibility is it.",True
"I just start kissing them.",False
"So Dr. Selwyn Vickers, appreciate you joining us this morning.",False
"That's just kind of one of the threats of flying, isn't it.",True
"Carol Costello is joining us now.",False
"But people, again, it comes back to that point about trying to buck the markets.",False
"Let me take a crack at your 60 first.",False
"They can be very creative, John and Kiran.",False
"What does it say about the testiness, what's going on now in these briefings between the defense secretary and the Pentagon press corps.",True
"The working title is We Were This Close Around the Time of the National Political Conventions.",False
"So we're not concerned about removing that one.",False
"Which one.",True
"There weren't any major gaffs and he didn't embarrass himself.",False
"JOIN",False
"There may be other footage to work with, dash cams from afterwards.",False
"He's going to face essentially perhaps the biggest question of his presidency and that is whether to retaliate and how severely to this apparent Iranian retaliation and we're going to have to wait and see what happens in the days ahead and the hours ahead, perhaps.",False
"Who is 11-09-teensUser168.",True
"I mean, anyone who's bored of talking about the Fed, prepare to get even more bored because, the reality is, they are very keen to act.",False
"Don turns 90 this month.",False
"Certainly not the local dignitaries one would have expected as Stephen Collinson was alluding to, other than the normal military personnel that would greet the president.",False
"1.5 degrees.",False
"I prefer to wait to get the facts.",False
"I mean are they going to have to then just really seriously reevaluate whether they still stay in.",True
"PART",False
"lol 10-19-20sUser121!!!",False
"It means the prosecution's case much less focused on whether those three police officers on their bikes who initially chased Gray and tackled him had falsely arrested Gray or had probable cause to arrest him because he had a concealed knife.",False
"Now they have Paul Ryan out there defending it.",False
"We have 7,000 dead and 52,000 casualties and where were the Romney's during those war.",True
"I don't know parents like this.",False
"There's been an enormous crime rising since the revolution, and rapes and killings and car abductions and theft.",False
"You're watching CNN NEWSROOM.",False
"But I think      you're right that the reader is the key element here.",False
"There is another story that you've mentioned in the book that I'd like you talk about briefly, if you would.",False
"ya find a truck in the yard when ya mowin.",True
"And that pressure is being brought to bear on the system that right now have got the biggest increase since the G.I.",False
".ACTION repeats moans in 11-06-adultsUser107's whisper.",False
"PART",False
"Instead, I'm going to try to tell the American people what I believe will make this country great, and hopefully, that will be a testimony to my patriotism.",False
"And he had expressed his desire, his interest in supports ISIS with an attack.",False
"O.k. I see it.",False
"Passenger Cheryl Bormann tells CNN she has nothing but praise for a flight crew that handled a very scary situation.",False
"JOIN",False
"We normally in a unit will fly about 270 hours a month.",False
"Good to see you, Fred.",False
"It's interesting, if it was an error, why did the market, perhaps, choose not to correct it and allow yesterday's big loss and this morning's big gain to stand.",True
"And that's where these two met.",False
"But I just think that you have to have that really strong mindset.",False
"PART",False
"damn!",False
".ACTION moanz LOUD.",False
"PART",False
"It's complicated anyway.",False
"PART",False
"You've got to take a serious look at it, don't you.",True
"So I think that we are going to stand back and concentrate on ISIS and basically throw the Free Syrian Army under the bus.",False
"yeas",False
"Now if you ask the Syrian government, the entire refugee crisis, apparently, is made up.",False
"You need proof.",True
"I'm Max Foster, checking the headlines for you this hour.",False
"ribs",False
"But when the final ruling came out, he vowed to appeal it and fight it because he said the city would blow up.",False
"And typically, from what we know, it usually happens to one engine.",False
"And, yes, I agree with Kevin.",False
"He wanted the best for them.",False
"Laura Sullivan, NPR News.",False
"my brain screams at me to kill",False
"PART",False
"most of us do NOT criss-cross",False
"But scientists are still examining it, and they say it provides a case study for what's happening today in the Gulf.",False
"Do you believe that God caused or condoned the attacks of September 11.",True
"We struck several dozen, over 100 oil trucks.",False
"That's right, Wolf.",False
"lol 10-19-30sUser28 ",False
"And there were several bombings around Iraq today.",False
"Be not afraid.",False
"Governor, what about going after employers of those who take illegal aliens, undocumented immigrants, whatever you want to call them and put them to work because they get to cut their costs.",True
"Still said it was pretty scary for everybody.",False
"And that includes police officers.",False
"Six people died and 12 were wounded in the mass shooting.",False
"because we've been sitting on our asses, so of course they feel lame.. and a bit numb",False
"The Tea Terrace, a cafe in London, has introduced the selfieccino.",False
"sho*",False
"Hong Kong's chief executive speaking now to the protesters that demand she steps down.",False
"The truth exists whether the president accepts it or not.",False
"I appreciate you.",False
"I think we have to deal with that skepticism.",False
"Well, the handsome 10-19-30sUser37",False
"hey 11-08-teensUser29",False
"He was born here and he's buried here.",False
"We are live in Ukraine with what investigators are finding right now.",False
"The Israeli Defense Forces have made a very robust defense saying that there were three members of Palestinian Islamic jihad on a motorcycle who were spotted in the vicinity.",False
"There was a report, quickly, on this that this mission originally was supposed to last about 72 hours.",False
"hey ladies",False
"ok, 10-24-40sUser16, Im ready, goooooo",False
"She said that President Bush has pledged something like $200 million for food aid.",False
"lol",False
"PART",False
"hey 11-09-teensUser72 u not from england by any chance are ya.",True
"But here, in the rural areas of Maine, we actually have Jared Golden beating Bruce Poliquin by two points, which gives you an idea that Democrats aren't just fighting in the suburbs, they're actually doing fairly well in some areas that were traditionally Democratic but then flipped to Trump in 2016.",False
"The word is in.",False
"Well, there are multiple risks on multiple levels.",False
"This is a huge area of vulnerability for himself as a candidate.",False
"I think there is no stomach in the new administration for continuing support to the Free Syrian Army.",False
"lol",False
"But just the constant, almost pathological need for attention.",False
"It is time to come to a conclusion that says to Saddam Hussein, it is time for you to disarm or be disarmed.",False
"Hi 11-09-40sUser11",False
"They're not looking for expulsion or they're not looking for that type of a sanction.",False
"haha",False
"PART",False
"Not at all.",False
"I like saying that.",False
"Welcome back to historic downtown Selma, where the crowds are swelling.",False
"It is in my blood.",False
"And so I was very, very encouraged by the coalition that Pete was able to put together in Iowa, in New Hampshire, he has a lot of momentum coming into Nevada and South Carolina.",False
"still morning here so morning 11-09-20sUser87!!",False
"And I'm, you know, it's amazing.",False
"I feel someone had to have known.",False
"lol",False
"I think this is really a different humanitarian catastrophe that we are facing on all possible levels here.",False
"Human rights groups calling for the U.N. to do more.",False
"Well, that's a lot of money to spend to play, basically.",False
"LOL",False
"I don't think they're regretting anything.",False
"Jetstar was managing it out of Australia.",False
"And, you know, we're looking for a comprehensive system that works across the board.",False
"o",False
"I think that the worst idea of all would be to raise tax rates.",False
"But he set an example of the fact that you could have these health scares, get your life back in order and get immediately back out there.",False
"still thats good enough",False
"All right.",False
"And we understand there was a traffic accident on the road there earlier this morning, which definitely slowed things up.",False
"honey.. cmon",False
"And he will do something rash egged on by John Bolton.",False
"All right.",False
"He still profits.",False
"The unemployment rate dipped to 8.1 percent.",False
"And that is as true for your work as it is for your lovers.",False
"JOIN",False
"That's catching the sniper.",False
"I think I saw the pilot eject, and I heard some funny noises and then I heard it hit and exploded.",False
"And we did not hear an apology for that.",False
"I don`t know if you can defend this guy, but we`ve got to make sure the woman, the mother of this girl, is not also a victim.",False
"People are definitely speaking out.",False
"JOIN",False
"That is really helpful perspective.",False
"PART",False
"Well, now he's got a chance to prove it.",False
"It appears that this incident was not the fault of a single individual or organization, but rather a systemic failure across organizations and agencies.",False
"That's the fact that the pathologist said, Look, on the one hand, the baby looked to be between 33 and 38 weeks.",False
"Our Senior International Correspondent Nic Robertson is embedded with U.S. troops in Ramadi.",False
"President Trump begins informal preparation for a potential interview with Special Counsel Robert Mueller.",False
"lol 10-19-40sUser9",False
"And wildfires blazing out of control through Southern California tonight in the center of the danger zone, live, next.",False
"A bombshell to be sure, but not a bomb.",False
"myspace is the devil",False
"Obviously, Athena was talking about the statements coming out from both sides of the aisle.",False
"A day of panic and desperation at the Cincinnati Zoo.",False
"anyone wanna chat 33 m pic in profile",True
"The ads feature people who say, they were scammed by Trump University.",False
"So it has not even united the Republican Party on this.",False
"are u kidding..!!",True
"In fact, almost 900 people on two different cruise ships have gotten norovirus so far this year.",False
"But I think the North Koreans know, at the end of the day, there are some serious issues that require dealing directly with the United States.",False
"Of course, they will be the good old fashion problem of dropped or fading calls.",False
"More women are going into consumer package goods companies, education, government, positions like that.",False
"If people aligned against him get in, you could see the president very quickly out as the head of state.",False
"And it is not an economic pressure that can be addressed simply by dealing with more boots on the ground and more technology at the border itself.",False
"why whats at 7am.",True
"hey 11-08-adultsUser92",False
"He joins us now.",False
"The ground gives way very easily.",False
"huh.",True
"Whether it's a day like today, where a suicide bomber boarded a bus, detonated his explosives and killed 10 Iraqis, or a day like yesterday, where twin suicide bombers attacked a group of police recruits, killing at least 35, this is what Iraqis have been living with for the least three years.",False
"hello teens i'm 26 years old",False
"oh but not really",False
"Cecile Marchand has been a driving force behind the camp for three years now.",False
"JOIN",False
".4 Rule 4. Please do not type in all CAPS, it is considered yelling. (Three warnings Max)",False
"wants you to what",True
"You see behind us here the morning commute to work as hundreds of people make their way down here.",False
"JOIN",False
"Is Cruz right.",True
"Still a lot ahead to talk about this morning, including what may be an emotional day in Alabama.",False
"You`re exactly right.",False
"oh 10-19-40sUser26 left lol",False
"She said the president did the country a service by firing Comey and, quote, exposing him for the shameless fraud he is.",False
"And there are three pillars in the military.",False
"what part of MD 11-09-40sUser49.",True
"Now, whether you're against that or not against that, you have to realize that psychiatrists do not do medical tests with their patients.",False
" ;-) ",False
"What is the status on that.",True
"Instead he described in detail watching the situation unfold as Soleimani arrived at Baghdad International Airport.",False
"Now his roommate is on trial for invading Clemente's privacy.",False
"lol",False
"you can forward the pervs to me.",False
"11-09-teensUser197<3.",False
"That could be the free zone.",False
"Is the conflict the start of a new Cold War.",True
"Apparently no alcohol involved.",False
"They were trying to get the street cleared out, so they kept pushing us back off the street into a press area.",False
"Martin Savidge, appreciate the live report very much.",False
"willy nelson",False
"John Boehner.",False
"I think if there's a big tax cut, for example, that lowers tax rates, you might have a bump, because the increased demand, increased consumer spending.",False
"We're starting now here in Missouri.",False
"We're live tonight from Mogadishu and I wish you could see what I saw today and we'll show you some of it later on in the program.",False
"This perhaps may have been the target of opportunity.",False
"There's nothing wrong with saying there is a possibility.",False
"just kidding",False
"hello",False
"All of last year, 400,000 came into the country illegally, right.",True
"A lot of people are saying that it's really a dangerous thing, and some politicians, by the way, saying it's a dangerous thing to start knocking the United States right now, that Israel depends on the relationship of the United States as an important ally, one of its most important allies.",False
"Back to Eileen O`Connor, legal counsel with Royal Caribbean.",False
"And when it comes to Republicans, 70 percent favor this war in Afghanistan.",False
"I would like to know how old he was when this happened.",True
"It's the same as an unjustified murder.",False
"the strange the weird and the driveby pmers",False
":10-26-teensUser54!10-26-teensUser54@10-26-teensUser54 MODE #14-19teens +o 10-26-teensUser54",False
"He's casting the race as a clear choice.",False
"l",False
"I'm Christiane Amanpour.",False
"JOIN",False
"the time where I live is 6:51 pm ",False
"hi 10-19-40sUser30",False
"I replies only that 'He is a good guy.'",False
"PART",False
"And next year, it will go up more to $10 an hour.",False
"They were demanding that all Jordanian interests withdraw from Iraq.",False
"wb",False
"You're right.",False
"frankly i can, but im a decent person and i only do with people im really close with",False
"These days it's not enough to have a trainer hovering over you in the gym as you sweat and flex your way to body beautiful.",False
"o ya",False
"anyone here seen the movie called shopgirl ",True
"That with Woods' new contract obviously the bar is being raised.",False
"Scientists don't think the entire ice sheet can melt any time soon, but every inch of sea level rise counts.",False
"A lot of people thought it was a good idea at the time.",False
"that is ok",False
"Eunice and Pat were devoted advocates for Americans of all abilities.",False
"Yes, it has, indeed.",False
"Simon gives Mark a tour.",False
"Thanks so much, Kaitlan Collins.",False
"they said they have one more person to interview",False
"I didn't want to entertain it, entertain him, anything he had to say, any explanation.",False
"PART",False
"We've had maybe a handful or a dozen maybe warnings over the past couple of hours.",False
"And they found that there was no association whatsoever between getting that vaccine and getting autism.",False
"Joran Van Der Sloot claims I`m innocent.",False
"And actually, it's spelled lamborghini",False
"I was in Harrisburg, Illinois, earlier in the week.",False
"Good to know, Porsche in California.",False
"And easyJet is not alone.",False
"you tart",False
"And I think that these leaks that he and his friends seem to be making are not helping his cause.",False
"hello all",False
"Spacey in his video doesn't address the charges.",False
"hi 10-24-40sUser51",False
"We want everyone to go back to normal, he says, months of quarantine, it's too much.",False
"why.",True
"crusty da clown",False
"I don't know.",False
"He could have brought it through on the plane from California.",False
"This started several months ago.",False
"According to Donald Trump's tweet, Donald Trump read the speech.",False
"Ed Lavandera, CNN, Dallas.",False
"You're watching News Stream.",False
"That's something reporters do a lot.",False
"These are articles of impeachment.",False
"Uh huh",False
"We're going to talk to one former official who says yes.",False
"Kofi Annan here on an official visit, who met with the king, here to visit and inspect this the site where so much devastation was caused by one of the suicide bombers.",False
"PART",False
"Will I be able to fly out.",True
"Good evening again.",False
"You have caravans coming up that look a lot larger than it's reported, actually.",False
"that's hilarious",False
"And I think it's just a matter of time.",False
"I hate that I know that.",False
"If you think you know Arias after watching this sensational murder trial, think again.",False
"JOIN",False
"Welcome back.",False
"They've been accused of passing classified information to the United States, in particular the CIA, the Central Intelligence Agency.",False
"How is Turkey, where I am right now, how are they going to react.",True
"The tragedy is off the charts.",False
"Now it's tomorrow, Governor.",False
"So you layer on top of that the pandemic, and you layer on top of that then the economic disruption, if I were foreign, you know, adversary of the United States, I'd be looking at how we could take advantage of the United States position right now which clearly has been I think weakened.",False
"So she came in there.",False
"White power.",False
"So there you go.",False
"ok Now Im pissed",False
"The way to conquer the enemies of life is to survive and celebrate life with a new sense of purpose.",False
"It's no surprise that he pops off when you ask him about his addiction.",False
"you got it 10-24-40sUser35",False
"!whip 11-08-20sUser50",False
"That it's lived up to its commitments and given up all of their capability.",False
"If they are to be there, this is the time for them.",False
"Meaning an upset.",True
"What about that, Jim Miller.",True
"Hello, and welcome to our viewers joining us from all around the world.",False
"She witnessed some very scary moments.",False
"I believe in discretion.",False
"And if she does that, she could have a very strong argument for that moderate lane, where she can compete with Pete Buttigieg, someone that she has contrasted herself in terms of her record and how much she's been able to get done.",False
"And you say I'm writing the book....",False
"They didn't know precisely until an hour before.",False
":P",False
"the world may never know...",False
"That means they were bringing in advanced combined arms army, heavy rocket artillery, some air defense pieces, technologically advanced air defense pieces.",False
"Holla at ya gurrrrl playas if u can handle wat I got",False
"That boy is now confirmed dead.",False
"PART",False
"hi 10-19-40sUser43",False
"Who got the biggest subcontracts for the two big mobile phone operations in Iraq.",True
"me ..",True
"10-24-40sUser41",False
"This is what we were worried about last night.",False
" dsklgjsdk.",False
" .Current. 57.F/14.C .Wind. 55%",False
"And, so is it too soon for me to ask you what kind of reaction, you know, you all are getting, perhaps even at your website, as a result of his resignation now just over an hour ago.",True
"And as I mentioned, businesses are reopening to the public, and everyone making their way back onto Boylston Street.",False
"Rivers died about two weeks ago at the age of 81.",False
"But I do know that the president will have a news conference next Monday night at 8 p.m.",False
"Tsunami warnings in place for these 20 countries including the West Coast of the U.S.",False
"I`m a geographic feature that covers more than 2 million square mile.",False
"awesome 10-19-40sUser46, whatcha doin.",True
"What about those women accusing him of sexually assaulting them.",True
"There is something to do with that fact that he was the president of the United States.",False
"Has the father made a commitment to stay in this country through the appeals process.",True
"The airport does a phenomenal job, you in the city do and the tourism authority there, of which you're responsible.",False
"We'll have it live right here on CNN.",False
"hugs 10-24-40sUser6",False
"JOIN",False
"We bring in our U.S. viewers to CNN NEWSROOM worldwide right after the break.",False
"And her husband, Drew Peterson, a former police sergeant, remains the prime suspect in the case.",False
"Analysts say we shouldn't worry about hitting the $4 mark like last summer.",False
"Approximately 10.",False
"What a great gift that is to America.",False
".ACTION gives 10-19-20sUser121 a golf clap.",False
"And we talked about his need to go up to Capitol Hill and make it very clear to members in both political parties why the Justice Department made the decisions it made; make it very clear about the facts.",False
"We're expecting that he will inform Duluth police of his decision at 1:00 this afternoon.",False
"Alison Kosik, a lot of people will be doing what Kelsey is today.",True
"But again, prosecutors now say they expect to see him soon.",False
"And it's highly unlikely that he'll get 60.",False
"JOIN",False
"I understand the stockholders are getting huge profits, and Mr. O'Reilly certainly is.",False
"You remember Jess, 10-19-adultsUser32.",True
"To just be right on this issue or that issue.",True
"ISIS watches CNN.",False
"hi 10-24-40sUser19",False
"So let's watch.",False
"lol",False
"i like to do quizes ok",False
"That's when an Italian appeals court found her guilty in the stabbing death of her roommate more than six years ago.",False
"The State Department is historically extremely cautious on these things, Fredricka.",False
"It's a fictionalized version but touches a lot of truth.",False
"I need Kittie music o_O",False
"hello 10-19-30sUser17",False
"So I think that's an enormous factor.",False
"Actually, more F bombs from the judge came after he`d been back cooling his heels for a while.",False
"haha",False
"He made it much more clear in direct statements, which is what Joe Biden does.",False
"There is a Syrian resistance now, but it is armed mainly with clash and cuffs and RPGs.",False
"The Mayor has now extended the city's curfew all the way through the weekend.",False
"This developing story, coming up in the NEWSROOM.",False
"So, I agree with James, where there's a separate question of obstruction of justice.",False
"Huge stakes for Hillary Clinton and Barack Obama.",False
"Let's listen in.",False
"Ben, what's the latest there.",True
"any guys wanna chat.",True
"lol 10-19-20sUser7",False
"holy crap!",False
"PART",False
"Jon represents that.",False
"i'm well funny",False
"That was at the end of a Democratic National Convention.",False
"Any parent that's ever had to do that knows what a painful, horrifying gut carrying feeling it is.",False
"no im not drivin a bus I have my own car but thanks for the invite",False
"In a matter of weeks, Kobe Bryant has gone from fighting for championships on the court to fighting for his life in court.",False
"If anyone followed their advice, you'd never know.",False
".ACTION = 10-26-teensUser58.",False
"Notice right now, jet stream farther to the south and things are going to change by the end of the weekend.",False
"They don't want to lose business, they don't want people to be scared to come here.",False
"It was a meltdown.",False
"When have we used it before.",True
" :-) ",False
"Romney told Politico their battle for the nomination could go on for months and called Gingrich the man to beat.",False
"So it's going to be all things Herman Cain the next several days.",False
"Pakistan's prime minister is lashing out at the United States, and there's new concern about the strained and very complicated relationship between the two countries.",False
"OK I DON'T KNOW WHO IS GOING AROUND TELLIN GUYS THAT I HAVE A BIG BOOTY. ONE NONE OF YALL AIN'T EVEN SEEN MY BOOTY AND NONE OF YOU WILL. SEE MY BOOTY. SO IF YOU HAVE SOMETHING TO SAY DON'T RUN YOUR MOUTH COME AND SAY IT TO MY FACE CUZ THAT IT JUST SHOWS YOUR NOT MAN OR WOMAN ENOUGH.",False
"And again, this one coming out today.",False
"Appreciate the insight.",False
"Well, the natural question is well then, why doesn't he.",True
"besides 10-26-teensUser45 who is my friend",False
"Do you believe that the president is seriously considering getting rid of Bob Mueller.",True
"10-19-adultsUser15..mopeds r for old men and gay  men right.",True
"PART",False
"Jason deBruyn from member station WUNC Jason, thanks.",False
"<---- 11-06-adultsUser105",False
"I want to get to politics today, because I'm sure you noticed that Gallup has a new poll out about the President's arrival rating, and it's the highest by Gallup's terms of his presidency.",False
"Tanner, Louisiana.",False
"Mr. President, on behalf of the entire Senate, thank you.",False
"If what you end up with here is obstruction, if they even get that far, if that's what you have, obstruction of justice, but no underlying crimes, is there any way Republicans would ever get on board with going ahead and with impeachment in that situation.",True
"We don't pout.",False
"It makes you think: What a load of idiots, can't even clean up a cup of coffee.",False
"And, again, the editor of The New Yorker said holding up a mirror to lots of these rumors and this narrative to use an overused phrase, that's out there about Obama in some quarters.",False
"Fifteen, 16 years old, you don't want to start doing that.",False
"11-08-20sUser70 why do you feel that way.",True
"He is now playing to the black votes in an effort to keep the Senate.",False
"And you can watch the full interview here on CNN Sunday.",False
"Remarkable news out of Kabul.",False
"I probably would have been better off if I'd just pulled down my schedule on Friday, but like a lot of people, I just thought I could keep going forward and power through it, and obviously, that didn't work out so well.",False
"Did I say Paul Begala.",True
"haha",False
"The fact is that questions still remain.",False
"As you go through you see that one purple.",False
"I think this is doable.",False
"At last night last check late last night, they said at least 17,000 had come through shortly before midnight, local time in California.",False
"hi 11-08-adultsUser35",False
"New details tonight of why Caroline Kennedy, who had wanted to replace Hillary Clinton as the junior senator from New York, withdrew her name from consideration by Governor David Paterson; last night Caroline Kennedy cited personal reasons for her decision to withdraw from consideration.",False
"New CNN polling exposes Americans' escalating doubts about the president's honesty and a growing opposition to giving him a second term.",False
"hey 11-09-adultsUser73",False
"JOIN",False
"I love her.",False
"OK, so let's talk about Fossett, Dennis Tito, Richard Branson, and all these wealthy tycoons.",False
"There's not a lot of mystery here.",False
"I'm George Howell.",False
"Now, it's a matter of doing the investigation and figuring out what really happened.",False
"and how do you make it 11-09-40sUser39....... lol",True
"It is nice to have you on the program.",False
"That means America's commanders in the middle of a combat zone would have to take fighting directions from politicians 6,000 miles away in Washington, D.C.",False
"The secretary of state, Mike Pompeo, he is slated to be back here in the United States later this hour.",False
"They have been beaten back, but we will see if this goes right.",False
"Thank you, Nic.",False
"Rubio is third.",False
"We`re asking: The da Vinci Code No.",False
"Did Senator Jeffords specifically request to attend the Teacher of the Year event.",True
"Question tonight: what did he mean then by full equality and what does he believe now.",True
"In a concrete building that's unusual I'm told that the fire should be able to come out on all sides of the building.",False
"You don't see them, you know, people go about their business doing other things even as they walk by so.",False
"Temporary hiring grew in December.",False
"lol 11-08-20sUser91!!!",False
"That's a bit later.",False
"McMaster is removed, leader, ostensibly, of your national security policy.",False
"JOIN",False
"You're not the investigator.",False
"All right, let`s go back to the courtroom.",False
"We're not seeing that at all today.",False
"A blizzard warning is up in New York City, which could see more than a foot of snow.",False
"It was quite an extravaganza for a Sunday morning in New York.",False
"I was uncomfortable.",False
".3(((((..6 11-06-adultsUser19 ..3)))))",False
"He said it must include tax incentives for businesses encouraging them to create jobs and to buy equipment.",False
"It is must less that than just the mere fact that is a politician.",False
"Well, I think there's a lot of truth to that.",False
"David Kestenbaum, NPR News.",False
"They are deliberately developing intelligence through reconnaissance.",False
"PART",False
"It's somewhere between half a million and a million troops.",False
"i don't believe it",False
"would like to git a purple color weave",False
"Pretty standard operating procedure particularly for a speech like this.",False
"grrr",False
"He's trying to kill them.",False
"Nobody knows, but it's probably going to be bad.",False
"dont mind i call you 10-26-teensUser156 do you.",True
"The only person, Erin, that he could point to that was a White House official wearing a mask was the White House photographer.",False
"Hours of running battles with American forces in the sprawling northeastern Baghdad suburb of Sadr City have left dozens of Iraqi civilians dead and more than 200 wounded according to the Iraqi Ministry of Health, the Americans taking losses too.",False
"hiya 10-24-40sUser37",False
"My thought was that, truly, this driver did not survive this incident.",False
"PART",False
"someone play with me",False
"hi 10-19-40sUser44",False
"My mum",False
".ACTION waves to 11-06-adultsUser42.",False
"A spokeswoman for The New York Times tells us that the paper hasn't found any evidence of a breach of its internal systems, but that there was a successful attempt to breach in systems in its Moscow bureau.",False
"does that make me old",True
"And we want to know what's on your mind tonight.",False
"packs of ciggareets",False
"JOIN",False
"Don, we talked about this last night.",False
"The result, success, enough to have the president fly in there last week.",False
"in my home.",True
"PART",False
"but oO 11-06-adultsUser19 is hawt.. lets make out",False
"The president is also keeping up his attacks on the media, railing against what he calls fake news, and again using the phrase enemy of the people.",False
"Yes, and we will research that and put that out because I know that's important.",False
"Stay down.",False
"Why hasn`t the mom stepped up, and you know, asked, you know, Where`s my child, and all this.",True
"We could carry on this discussion all day and I hope that we will, off air.",False
"Then we'll shout out to Jermaine back in South Carolina.",False
"id put caution tape all around her",False
"Thank you.",False
"I have to leave.",True
"PART",False
"UNIDENTIFIED FEMALE; Another witness there is telling you that he saw two shooters.",False
"And what about the number of ISIS reportedly killed.",True
"So with the situation such as this where time is of the essence, I think that they're going to have to either articulate standards right now, or actually come out with a decisive decision, which we know today or tomorrow who the next president of the United States is.",False
"We'll tell you the reasons he never served.",False
"11-09-40sUser47",False
"Dennis, regarding the day care owner changing her story several times, what were her various stories, Dennis.",True
"went to manhattan and back, boght some stuff then came back home",False
"No such thing as being too smart =)",False
"so dont feel too bad dreaming",False
"The president has fundamentally undercut that process.",False
"anyone in maryland.",True
"hello",False
"I'm Scott Simon.",False
"Did you feel that that was important, or did somebody push you in that direction.",True
"So it's critical that the total weight be within the limit and that the plane be balanced.",False
"I think it's an important one, the separated families.",False
"o.0",False
"If I were representing him, I think that I would probably have a polygraph taken so that I`m clear about some of the things that have taken place and...",False
"Oh, gosh, yeah.",False
"He was told about it.",False
"hi 10-24-40sUser48",False
"It's 24 minutes after the hour.",False
"This crane is now flying loose.",False
"Let's talk about Paul Ryan.",False
"Jeanne, what do you know.",True
"It makes no sense.",False
"So, I didn't do it frequently.",False
"Again, Aaron, back to you.",False
"hb",False
"In the meantime, some workers say they are looking for new jobs in the private sector and hoping for some compromise.",False
"All right.",False
"PART",False
"So, John, give us perspective here.",False
"And that maybe the next step, Erin.",False
"It's one of the great honors of my life.",False
"And I said, the world is much more transparent.",False
"But conditions are so tense right now that some believe the failure of either effort might trigger an attack on Iran's nuclear facilities, and no one knows what might happen after that.",False
"I forgive him.",False
"lol",False
"Well, so far, Al Jazeera has only aired some small portions of that audio message from Osama bin Laden, but the dominant message, at least as far as the United States is concerned, he now says that he holds U.S. citizens responsible for the war in Iraq.",False
"Harry Styles.",False
"PART",False
"This one comes from another one of our chatters, Marsha.",False
"hi 11-08-40sUser66:)",False
"ah good night to have the top down",False
"I thought he was enthusiastic about everything that we talked about.",False
"There are three levels of turbulence right now amongst our population.",False
"We're the largest seafood restaurant in New York City.",False
"Can she stay as Prime Minister much longer.",True
"wothough humor>",False
"JOIN",False
"So, you have described the threat from this nationalism and this populism and you are launching DiEM25, which you hope to be a progressive international, a progressive wave to counter this mostly extreme right nationalism.",False
"Thank you, sir.",False
"does not matter to me waht anyone else thinks about me :) lol ",False
"hi 11-08-40sUser6",False
"At 9 p.m. Eastern Standard Time, French, British and U.S. forces struck targets in Syria in support of President Trump's objective to deter the future use of chemical weapons.",False
"There you have it.",False
"And they know how to do this.",False
"I'd obviously look into it and I would be concerned about it, but I'm not going to go so far as to say that the officer doesn't have any free speech rights in that circumstance.",False
"Have you.",True
"What do you know.",True
"And we are thrill to be joined by so many people whose accomplishments helped write new chapters in that history.",False
"hello is there anyone in the maryland area",True
"Ian Lee, live for us in Cairo this morning.",False
"thats right",False
"Yes, but today that's not what people are talking about.",False
"Don't answer the question why.",True
"Let me ask you this question.",False
"But Hanna Rosin says we should be paying attention, and that's a change of heart for the writer and host of the podcast DoubleX Gabfest on Slate.",False
"President Trump did not have vetting papers in and President Obama did.",False
"thanks 11-09-40sUser18 ... hi 11-09-40sUser45",False
"OK, here is something that may surprise you.",False
"He was so, so sweet before his illness but became more bitter.",False
"She goes missing just hours after the segment airs.",False
"Look at what's happening.",False
"People are terrified.",False
"Legislatively, we can go further.",False
"yeah me too",False
"So, you're concerned that the trends you're seeing would invert the curve if, if rates continue to rise too fast.",False
